building,hood,lab,floor,server,flow_sensor,sash_position_sensor,object_id,device_id,internal_temp_sensor,external_temp_sensor,,,,,,,,,,,,,,,
biotech,1,360,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_360_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_360_control/hood_sash,,,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_360_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,360B,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_360b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_360b_control/hood_sash,,,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_360b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,367,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_367_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_367_control/hood_sash,,,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_367_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,367B,3,biotech_main,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_367b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_367b_control/hood_sash,,,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_367b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,403,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_403_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_403_control/hood_sash,,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_403_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,403B,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_403b_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_403b_control/hood_sash,,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_403b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,409,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409_control/hood_sash,,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,409B,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409b_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409b_control/hood_sash,,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,417,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417_control/hood_sash,,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,417B,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417b_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417b_control/hood_sash,,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,418,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_418_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_418_control/hood_sash,,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_418_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
biotech,1,421,4,biotech_main,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421_control/hood_sash,,,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,,,,,,,,,,,,,,
