,Lab,Floor,Hood,Sash,Occupancy,Internal Temp,External Temp
43,360b,3rd,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_360b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_360b_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_360b_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_360b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
44,367,3rd,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_367_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_367_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_367_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_367_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
45,367b,3rd,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_367b_control/hoodvalve_flow,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_367b_control/hood_sash,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_367b_control/occ,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_367b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
46,403,4th,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_403_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_403_control/hood_sash,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_403_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_403_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
47,403b,4th,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_403b_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_403b_control/hood_sash,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_403b_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_403b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
48,409,4th,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409_control/hood_sash,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
49,409b,4th,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409b_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409b_control/hood_sash,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409b_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
50,417,4th,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417_control/hood_sash,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
51,417b,4th,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417b_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417b_control/hood_sash,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417b_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
52,418,4th,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_418_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_418_control/hood_sash,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_418_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_418_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
53,421,4th,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421_control/hood_sash,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
54,421b,4th,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421b_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421b_control/hood_sash,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421b_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
55,427b,4th,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_427b_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_427b_control/hood_sash,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_427b_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_427b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
56,433,4th,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_433_control/hoodvalve_flow,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_433_control/hood_sash,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_433_control/occ,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_433_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
