C1,Room,Pointname,Acronym,Point
Point List,,,,
Location:,Cornell University / Biotech Server / Biotech,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
Location,Control Program,Name,Type,Path
/Cornell University/Biotech Server/Biotech/Biotech Building Performance/Airflow Performance,,,,
,"Biotech ACS-1, 2, and 3 Performance",,,
,,Htg Setpt,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/htg_setpt
,,Lab_Setback,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/lab_setback_av
,,LabSchedule,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/lab_schedule_av
,,Lab Schedule Count,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/lab_schedule_count_av
,,Lab Setback Count,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/lab_setback_count_av
,,NFHL Occ Tot Status,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/occ_tot
,,NITE_SETBACK,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/nite_setback
,,Non-LabSchedule,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/non-lab_schedule_av
,,Non-Lab Schedule Count,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/non-lab_schedule_count_av
,,Non-Lab Setback,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/non-lab_setback_av
,,Non-Lab Setback Count,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/non-lab_setback_count_av
,,Occ Max EAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/occ_max_eflow_stpt_av
,,Occ Max SAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/occ_max_sflow_stpt_av
,,Occ Min EAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/occ_min_eflow_stpt_av
,,Occ Min SAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/occ_min_sflow_stpt_av
,,Space Temp,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/space_temp
,,Supply Damper Position,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/sup_dmpr_pos
,,Supply Flow,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/sup_vav_flow
,,Supply Flow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/sup_flow_sp
,,Unocc Min EAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/unocc_min_eflow_stpt_av
,,Unocc Min SAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/unocc_min_sflow_stpt_av
,,NFHL Occupancy Status,BBV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/nfhl_occ_status
,,Schedule,BBV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/m106
,,point name,BMSV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/m381
,,OCCUPANCY SENSOR TROUBLE,BALM,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/m133
,,GLOBAL_UNOCC_OVRIDE,BNI2,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/unocc_override
,,OA Temp,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/oat
,,Occ Max Cooling EAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/occ_max_cool_eflow_stpt_ani
,,Occ Max Cooling SAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/occ_max_cool_sflow_stpt_ani
,,Occ Max Heating EAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/occ_max_heat_eflow_stpt_ani
,,Occ Max Heating SAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/occ_max_heat_sflow_stpt_ani
,,Occ Min EAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/occ_min_eflow_stpt_ani
,,Occ Min SAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/occ_min_sflow_stpt_ani
,,stmldshd5,BNI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/m159
,,Unocc Min EAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/unocc_min_eflow_stpt_ani
,,Unocc Min SAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_403a_control/unocc_min_sflow_stpt_ani
,Space 404 Control,,,
,,Exh Flow Control,BAF,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/exh_air_flow
,,Exh Flow Control / Flow Input,BAI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/exh_air_flow/flow_input
,,Supply Flow Control,BAF,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/sup_air_flow
,,Supply Flow Control / Flow Input,BAI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/sup_air_flow/flow_input
,,Zone Temp,BRS,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/rs_pro
,,Zone Temp / Zone Temp,BAI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/rs_pro/zone_temp
,,Zone Temp / Override Time Remaining,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/rs_pro/override_time_remaining
,,Discharge Temp,BAI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/da_temp
,,OCC SENSOR,BBI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/occ
,,HW Valve,BAO,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/hw_valve
,,Clg Setpt,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/clg_setpt
,,Exhaust Damper Position,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/exh_dmpr_pos
,,Exhaust Flow,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/exh_vav_flow
,,Exhaust Flow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/exh_flow_sp
,,Htg Setpt,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/htg_setpt
,,Lab_Setback,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/lab_setback_av
,,LabSchedule,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/lab_schedule_av
,,Lab Schedule Count,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/lab_schedule_count_av
,,Lab Setback Count,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/lab_setback_count_av
,,NFHL Occ Tot Status,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/occ_tot
,,NITE_SETBACK,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/nite_setback
,,Non-LabSchedule,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/non-lab_schedule_av
,,Non-Lab Schedule Count,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/non-lab_schedule_count_av
,,Non-Lab Setback,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/non-lab_setback_av
,,Non-Lab Setback Count,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/non-lab_setback_count_av
,,Occ Max EAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/occ_max_eflow_stpt_av
,,Occ Max SAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/occ_max_sflow_stpt_av
,,Occ Min EAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/occ_min_eflow_stpt_av
,,Occ Min SAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/occ_min_sflow_stpt_av
,,Space Temp,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/space_temp
,,Supply Damper Position,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/sup_dmpr_pos
,,Supply Flow,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/sup_vav_flow
,,Supply Flow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/sup_flow_sp
,,Unocc Min EAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/unocc_min_eflow_stpt_av
,,Unocc Min SAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/unocc_min_sflow_stpt_av
,,NFHL Occupancy Status,BBV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/nfhl_occ_status
,,Schedule,BBV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/m106
,,point name,BMSV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/m381
,,OCCUPANCY SENSOR TROUBLE,BALM,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/m133
,,GLOBAL_UNOCC_OVRIDE,BNI2,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/unocc_override
,,OA Temp,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/oat
,,Occ Max Cooling EAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/occ_max_cool_eflow_stpt_ani
,,Occ Max Cooling SAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/occ_max_cool_sflow_stpt_ani
,,Occ Max Heating EAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/occ_max_heat_eflow_stpt_ani
,,Occ Max Heating SAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/occ_max_heat_sflow_stpt_ani
,,Occ Min EAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/occ_min_eflow_stpt_ani
,,Occ Min SAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/occ_min_sflow_stpt_ani
,,stmldshd5,BNI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/m159
,,Unocc Min EAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/unocc_min_eflow_stpt_ani
,,Unocc Min SAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_404_control/unocc_min_sflow_stpt_ani
,Space 409A Control,,,
,,Exh Flow Control,BAF,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/exh_air_flow
,,Exh Flow Control / Flow Input,BAI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/exh_air_flow/flow_input
,,Supply Flow Control,BAF,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/sup_air_flow
,,Supply Flow Control / Flow Input,BAI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/sup_air_flow/flow_input
,,Zone Temp,BRS,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/rs_pro
,,Zone Temp / Zone Temp,BAI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/rs_pro/zone_temp
,,Zone Temp / Override Time Remaining,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/rs_pro/override_time_remaining
,,Discharge Temp,BAI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/da_temp
,,OCC SENSOR,BBI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/occ
,,HW Valve,BAO,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/hw_valve
,,Clg Setpt,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/clg_setpt
,,Exhaust Damper Position,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/exh_dmpr_pos
,,Exhaust Flow,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/exh_vav_flow
,,Exhaust Flow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/exh_flow_sp
,,Htg Setpt,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/htg_setpt
,,Lab_Setback,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/lab_setback_av
,,LabSchedule,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/lab_schedule_av
,,Lab Schedule Count,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/lab_schedule_count_av
,,Lab Setback Count,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/lab_setback_count_av
,,NFHL Occ Tot Status,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/occ_tot
,,NITE_SETBACK,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/nite_setback
,,Non-LabSchedule,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/non-lab_schedule_av
,,Non-Lab Schedule Count,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/non-lab_schedule_count_av
,,Non-Lab Setback,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/non-lab_setback_av
,,Non-Lab Setback Count,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/non-lab_setback_count_av
,,Occ Max EAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/occ_max_eflow_stpt_av
,,Occ Max SAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/occ_max_sflow_stpt_av
,,Occ Min EAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/occ_min_eflow_stpt_av
,,Occ Min SAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/occ_min_sflow_stpt_av
,,Space Temp,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/space_temp
,,Supply Damper Position,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/sup_dmpr_pos
,,Supply Flow,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/sup_vav_flow
,,Supply Flow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/sup_flow_sp
,,Unocc Min EAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/unocc_min_eflow_stpt_av
,,Unocc Min SAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/unocc_min_sflow_stpt_av
,,NFHL Occupancy Status,BBV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/nfhl_occ_status
,,Schedule,BBV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/m106
,,point name,BMSV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/m381
,,OCCUPANCY SENSOR TROUBLE,BALM,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/m133
,,GLOBAL_UNOCC_OVRIDE,BNI2,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/unocc_override
,,OA Temp,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/oat
,,Occ Max Cooling EAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/occ_max_cool_eflow_stpt_ani
,,Occ Max Cooling SAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/occ_max_cool_sflow_stpt_ani
,,Occ Max Heating EAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/occ_max_heat_eflow_stpt_ani
,,Occ Max Heating SAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/occ_max_heat_sflow_stpt_ani
,,Occ Min EAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/occ_min_eflow_stpt_ani
,,Occ Min SAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/occ_min_sflow_stpt_ani
,,stmldshd5,BNI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/m159
,,Unocc Min EAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/unocc_min_eflow_stpt_ani
,,Unocc Min SAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_409a_control/unocc_min_sflow_stpt_ani
,Space 417A Control,,,
,,Exh Flow Control,BAF,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/exh_air_flow
,,Exh Flow Control / Flow Input,BAI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/exh_air_flow/flow_input
,,Supply Flow Control,BAF,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/sup_air_flow
,,Supply Flow Control / Flow Input,BAI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/sup_air_flow/flow_input
,,Zone Temp,BRS,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/rs_pro
,,Zone Temp / Zone Temp,BAI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/rs_pro/zone_temp
,,Zone Temp / Override Time Remaining,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/rs_pro/override_time_remaining
,,Discharge Temp,BAI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/da_temp
,,OCC SENSOR,BBI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/occ
,,HW Valve,BAO,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/hw_valve
,,Clg Setpt,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/clg_setpt
,,Exhaust Damper Position,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/exh_dmpr_pos
,,Exhaust Flow,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/exh_vav_flow
,,Exhaust Flow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/exh_flow_sp
,,Htg Setpt,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/htg_setpt
,,Lab_Setback,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/lab_setback_av
,,LabSchedule,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/lab_schedule_av
,,Lab Schedule Count,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/lab_schedule_count_av
,,Lab Setback Count,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/lab_setback_count_av
,,NFHL Occ Tot Status,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/occ_tot
,,NITE_SETBACK,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/nite_setback
,,Non-LabSchedule,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/non-lab_schedule_av
,,Non-Lab Schedule Count,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/non-lab_schedule_count_av
,,Non-Lab Setback,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/non-lab_setback_av
,,Non-Lab Setback Count,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/non-lab_setback_count_av
,,Occ Max EAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/occ_max_eflow_stpt_av
,,Occ Max SAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/occ_max_sflow_stpt_av
,,Occ Min EAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/occ_min_eflow_stpt_av
,,Occ Min SAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/occ_min_sflow_stpt_av
,,Space Temp,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/space_temp
,,Supply Damper Position,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/sup_dmpr_pos
,,Supply Flow,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/sup_vav_flow
,,Supply Flow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/sup_flow_sp
,,Unocc Min EAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/unocc_min_eflow_stpt_av
,,Unocc Min SAirflow Setpoint,BAV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/unocc_min_sflow_stpt_av
,,NFHL Occupancy Status,BBV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/nfhl_occ_status
,,Schedule,BBV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/m106
,,point name,BMSV,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/m381
,,OCCUPANCY SENSOR TROUBLE,BALM,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/m133
,,GLOBAL_UNOCC_OVRIDE,BNI2,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/unocc_override
,,OA Temp,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/oat
,,Occ Max Cooling EAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/occ_max_cool_eflow_stpt_ani
,,Occ Max Cooling SAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/occ_max_cool_sflow_stpt_ani
,,Occ Max Heating EAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/occ_max_heat_eflow_stpt_ani
,,Occ Max Heating SAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/occ_max_heat_sflow_stpt_ani
,,Occ Min EAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/occ_min_eflow_stpt_ani
,,Occ Min SAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/occ_min_sflow_stpt_ani
,,stmldshd5,BNI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/m159
,,Unocc Min EAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/unocc_min_eflow_stpt_ani
,,Unocc Min SAirflow Setpoint,ANI,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_417a_control/unocc_min_sflow_stpt_ani
,Space 421A Control,,,
,,Exh Flow Control,BAF,#biotech/biotech_4th_floor/fourth_floor_non_fume_hood_lab_spaces/space_421a_control/exh_air_flow
